transaction_id,timestamp,transaction_type,merchant_category,amount_inr,sender_age_group,receiver_age_group,sender_state,sender_bank,receiver_bank,device_type,network_type,hour_of_day,is_weekend,transaction_status,fraud_flag,anomaly_score,anomaly_risk_band
TXN0000191033,2024-07-27 13:29:35,Recharge,Fuel,1257,46-55,18-25,Rajasthan,PNB,PNB,iOS,5G,13,1,SUCCESS,0,0.5235562813092947,High Anomaly
TXN0000209031,2024-12-07 22:30:46,P2M,Shopping,1646,56+,56+,Tamil Nadu,Kotak,Yes Bank,iOS,5G,22,1,SUCCESS,0,0.5235457433735018,High Anomaly
TXN0000077423,2024-09-26 11:13:17,P2P,Other,463,36-45,56+,Andhra Pradesh,Axis,Yes Bank,Web,WiFi,11,0,SUCCESS,0,0.5235266500989222,High Anomaly
TXN0000099450,2024-01-31 22:21:42,Recharge,Entertainment,194,26-35,36-45,Delhi,Axis,SBI,Web,WiFi,22,0,SUCCESS,0,0.5235161025348946,High Anomaly
TXN0000137435,2024-02-03 15:18:05,P2P,Utilities,3771,26-35,46-55,Telangana,ICICI,Kotak,Web,WiFi,15,1,SUCCESS,0,0.5235034191066772,High Anomaly
TXN0000150063,2024-12-16 12:43:11,P2M,Healthcare,1387,56+,26-35,Telangana,Axis,Kotak,iOS,WiFi,12,0,SUCCESS,0,0.5234941047833346,High Anomaly
TXN0000083858,2024-02-08 20:01:10,P2P,Education,5533,18-25,46-55,Tamil Nadu,HDFC,Kotak,Web,3G,20,0,FAILED,0,0.5234693737235263,High Anomaly
TXN0000208140,2024-05-12 11:58:33,Bill Payment,Fuel,2836,56+,18-25,Tamil Nadu,ICICI,IndusInd,iOS,5G,11,1,SUCCESS,0,0.5234502022149022,High Anomaly
TXN0000017553,2024-03-16 00:39:06,P2M,Transport,234,46-55,18-25,West Bengal,Kotak,HDFC,Web,5G,0,1,SUCCESS,0,0.5234404682661482,High Anomaly
TXN0000203282,2024-01-23 19:52:51,P2P,Entertainment,214,18-25,56+,Maharashtra,PNB,Axis,Web,3G,19,0,SUCCESS,0,0.5234292926849403,High Anomaly
TXN0000140418,2024-06-21 11:32:11,Bill Payment,Healthcare,261,36-45,36-45,Karnataka,HDFC,IndusInd,Web,WiFi,11,0,SUCCESS,0,0.5234116415755771,High Anomaly
TXN0000110589,2024-09-08 09:42:28,Bill Payment,Grocery,331,56+,46-55,West Bengal,Axis,Axis,iOS,5G,9,1,SUCCESS,0,0.5234106708647119,High Anomaly
TXN0000057511,2024-04-30 07:01:30,Recharge,Transport,237,56+,26-35,Tamil Nadu,SBI,IndusInd,iOS,WiFi,7,0,SUCCESS,0,0.5233905496297602,High Anomaly
TXN0000002324,2024-11-16 06:35:00,P2P,Transport,56,26-35,18-25,West Bengal,Kotak,IndusInd,iOS,3G,6,1,SUCCESS,0,0.523389183208909,High Anomaly
TXN0000157132,2024-10-13 18:53:48,Recharge,Entertainment,178,46-55,56+,Gujarat,Axis,Axis,Android,4G,18,1,SUCCESS,0,0.5233749751909613,High Anomaly
TXN0000019586,2024-01-09 17:57:08,Bill Payment,Other,222,56+,56+,Maharashtra,HDFC,Axis,Web,5G,17,0,SUCCESS,0,0.5233471108966147,High Anomaly
TXN0000071856,2024-10-12 14:51:06,P2P,Education,4185,26-35,56+,Andhra Pradesh,SBI,Yes Bank,Web,WiFi,14,1,SUCCESS,0,0.5233383277416264,High Anomaly
TXN0000102532,2024-12-25 23:06:28,Bill Payment,Fuel,679,36-45,56+,Rajasthan,ICICI,IndusInd,Android,3G,23,0,SUCCESS,0,0.5233342859267731,High Anomaly
TXN0000098548,2024-02-03 07:44:27,Bill Payment,Transport,50,26-35,18-25,Delhi,Yes Bank,Kotak,Web,WiFi,7,1,SUCCESS,0,0.5233125677267514,High Anomaly
TXN0000041111,2024-08-31 09:53:44,P2M,Education,1939,36-45,36-45,Maharashtra,PNB,Axis,Web,WiFi,9,1,SUCCESS,0,0.5233073977368954,High Anomaly
TXN0000106099,2024-04-20 01:37:38,P2M,Grocery,236,18-25,46-55,Rajasthan,ICICI,Axis,Web,WiFi,1,1,SUCCESS,0,0.5232962201855367,High Anomaly
TXN0000127586,2024-12-01 16:46:39,Bill Payment,Grocery,2656,56+,46-55,Gujarat,Yes Bank,IndusInd,iOS,5G,16,1,SUCCESS,0,0.5232787720491169,High Anomaly
TXN0000109585,2024-08-03 14:47:09,P2P,Entertainment,65,56+,36-45,Gujarat,PNB,IndusInd,iOS,5G,14,1,SUCCESS,0,0.5232308584752539,High Anomaly
TXN0000052014,2024-10-28 00:29:37,Bill Payment,Shopping,2073,46-55,36-45,Gujarat,HDFC,IndusInd,Web,5G,0,0,SUCCESS,0,0.5232110173760227,High Anomaly
TXN0000123716,2024-04-07 18:55:06,Recharge,Shopping,2002,56+,26-35,Telangana,IndusInd,Yes Bank,Android,WiFi,18,1,SUCCESS,0,0.5232024047979015,High Anomaly
TXN0000014560,2024-07-21 23:27:47,Bill Payment,Other,236,18-25,26-35,Karnataka,ICICI,IndusInd,Web,WiFi,23,1,SUCCESS,0,0.5231840110642755,High Anomaly
TXN0000227807,2024-04-26 20:55:33,Recharge,Transport,119,46-55,18-25,Delhi,ICICI,Kotak,iOS,WiFi,20,0,SUCCESS,0,0.5231828884378064,High Anomaly
TXN0000068501,2024-10-12 02:38:08,Bill Payment,Entertainment,157,26-35,46-55,Tamil Nadu,SBI,PNB,iOS,3G,2,1,SUCCESS,0,0.5231728927281353,High Anomaly
TXN0000243789,2024-01-11 05:16:41,Bill Payment,Other,149,56+,18-25,Uttar Pradesh,Kotak,PNB,iOS,5G,5,0,SUCCESS,0,0.5231692865890512,High Anomaly
TXN0000018912,2024-11-23 07:37:36,Bill Payment,Transport,366,56+,36-45,Gujarat,SBI,Axis,iOS,3G,7,1,SUCCESS,0,0.5231222330695665,High Anomaly
TXN0000107718,2024-08-07 17:46:36,Bill Payment,Healthcare,174,18-25,56+,Tamil Nadu,ICICI,Axis,iOS,3G,17,0,SUCCESS,0,0.5230869388657934,High Anomaly
TXN0000222464,2024-11-23 15:02:51,Bill Payment,Grocery,229,56+,26-35,Gujarat,HDFC,PNB,Web,5G,15,1,SUCCESS,0,0.523062654679506,High Anomaly
TXN0000179573,2024-07-04 13:13:32,Recharge,Grocery,376,18-25,46-55,Tamil Nadu,Axis,Yes Bank,Web,WiFi,13,0,SUCCESS,0,0.5230529535302881,High Anomaly
TXN0000041952,2024-05-22 08:37:12,Recharge,Food,325,36-45,56+,Telangana,SBI,Yes Bank,iOS,WiFi,8,0,SUCCESS,0,0.5230043229942644,High Anomaly
TXN0000133903,2024-03-02 18:33:47,Bill Payment,Shopping,2238,46-55,26-35,Gujarat,Yes Bank,Kotak,iOS,WiFi,18,1,SUCCESS,0,0.5229937028884735,High Anomaly
TXN0000217439,2024-02-17 11:00:14,Recharge,Shopping,1977,56+,26-35,Andhra Pradesh,ICICI,Yes Bank,Web,4G,11,1,SUCCESS,0,0.5229818515697705,High Anomaly
TXN0000041513,2024-05-26 09:07:56,Bill Payment,Grocery,3629,36-45,46-55,Delhi,ICICI,HDFC,iOS,WiFi,9,1,SUCCESS,0,0.5229746605361512,High Anomaly
TXN0000118368,2024-12-02 20:15:46,P2M,Utilities,3091,56+,56+,Tamil Nadu,ICICI,PNB,Web,5G,20,0,SUCCESS,0,0.5229611988324641,High Anomaly
TXN0000203374,2024-07-24 20:18:41,Bill Payment,Education,3588,46-55,46-55,Rajasthan,HDFC,PNB,iOS,5G,20,0,SUCCESS,0,0.5229471928288071,High Anomaly
TXN0000085530,2024-11-24 16:13:09,P2M,Shopping,6468,18-25,56+,Telangana,HDFC,Axis,iOS,WiFi,16,1,FAILED,0,0.5229365451768702,High Anomaly
TXN0000071930,2024-06-29 23:37:58,P2M,Shopping,1796,36-45,36-45,Telangana,HDFC,Kotak,Web,WiFi,23,1,SUCCESS,0,0.52292297168903,High Anomaly
TXN0000216292,2024-03-30 21:27:10,Bill Payment,Grocery,377,46-55,36-45,Gujarat,SBI,Axis,Web,WiFi,21,1,SUCCESS,0,0.5229216473276584,High Anomaly
TXN0000118353,2024-04-02 21:36:25,Bill Payment,Shopping,425,46-55,56+,Gujarat,Kotak,IndusInd,iOS,3G,21,0,SUCCESS,0,0.5229048587578962,High Anomaly
TXN0000145400,2024-07-03 19:42:07,Bill Payment,Shopping,1124,56+,46-55,Maharashtra,ICICI,ICICI,iOS,WiFi,19,0,SUCCESS,0,0.5228692795255302,High Anomaly
TXN0000210399,2024-09-24 16:33:35,Recharge,Transport,87,46-55,56+,Rajasthan,ICICI,Kotak,iOS,4G,16,0,SUCCESS,0,0.5228690261277176,High Anomaly
TXN0000137039,2024-11-16 13:10:18,Bill Payment,Fuel,1642,26-35,36-45,Delhi,Yes Bank,IndusInd,Web,WiFi,13,1,SUCCESS,0,0.5228577779366621,High Anomaly
TXN0000233977,2024-09-21 14:45:43,Bill Payment,Transport,271,36-45,26-35,Rajasthan,Axis,PNB,iOS,WiFi,14,1,SUCCESS,0,0.5228462869853735,High Anomaly
TXN0000174424,2024-07-13 16:48:12,Recharge,Shopping,7563,18-25,26-35,Rajasthan,SBI,IndusInd,Web,5G,16,1,SUCCESS,0,0.5228448926402365,High Anomaly
TXN0000169867,2024-05-27 11:09:00,Bill Payment,Fuel,4660,26-35,46-55,Karnataka,SBI,Kotak,Web,WiFi,11,0,SUCCESS,0,0.522838432022729,High Anomaly
TXN0000213831,2024-04-28 11:53:01,P2P,Education,17803,46-55,18-25,Tamil Nadu,Yes Bank,PNB,iOS,WiFi,11,1,FAILED,0,0.5227664339498848,High Anomaly
TXN0000054291,2024-10-31 22:50:36,Recharge,Grocery,217,18-25,56+,Karnataka,PNB,HDFC,iOS,3G,22,0,SUCCESS,0,0.5227654626087038,High Anomaly
TXN0000018635,2024-01-12 20:02:44,P2M,Education,1796,46-55,36-45,Karnataka,IndusInd,Axis,Web,WiFi,20,0,SUCCESS,0,0.5227520966298381,High Anomaly
TXN0000038874,2024-08-08 13:08:42,Bill Payment,Utilities,479,46-55,36-45,Andhra Pradesh,Kotak,Yes Bank,Web,5G,13,0,FAILED,0,0.5227121085600938,High Anomaly
TXN0000007544,2024-12-28 19:44:24,Recharge,Entertainment,98,46-55,26-35,Rajasthan,SBI,Yes Bank,Web,4G,19,1,SUCCESS,0,0.5226951367693304,High Anomaly
TXN0000102740,2024-06-02 09:01:32,Recharge,Transport,431,46-55,26-35,Maharashtra,IndusInd,Kotak,iOS,3G,9,1,SUCCESS,0,0.5226873144444198,High Anomaly
TXN0000203381,2024-06-09 18:03:32,Bill Payment,Shopping,506,46-55,18-25,Uttar Pradesh,Yes Bank,Yes Bank,iOS,3G,18,1,SUCCESS,0,0.5226826240935477,High Anomaly
TXN0000084980,2024-06-24 12:07:29,Recharge,Education,1123,46-55,18-25,Andhra Pradesh,Axis,HDFC,Web,4G,12,0,SUCCESS,0,0.522680338004615,High Anomaly
TXN0000140150,2024-03-09 16:16:13,P2P,Education,7178,36-45,56+,Tamil Nadu,Axis,IndusInd,iOS,WiFi,16,1,SUCCESS,0,0.5226708902155998,High Anomaly
TXN0000054492,2024-02-09 17:26:52,Bill Payment,Shopping,373,56+,36-45,Karnataka,IndusInd,PNB,Web,4G,17,0,SUCCESS,0,0.5226651991103676,High Anomaly
TXN0000140638,2024-09-09 19:31:37,P2M,Utilities,3679,46-55,36-45,Maharashtra,Axis,PNB,Web,WiFi,19,0,SUCCESS,0,0.5226570799193894,High Anomaly
TXN0000121435,2024-07-13 08:31:59,P2M,Grocery,1943,26-35,56+,Tamil Nadu,Kotak,IndusInd,iOS,3G,8,1,SUCCESS,0,0.5226169183012314,High Anomaly
TXN0000016350,2024-05-11 21:13:34,P2M,Entertainment,364,26-35,56+,Andhra Pradesh,Yes Bank,Yes Bank,iOS,3G,21,1,SUCCESS,0,0.5226112875368182,High Anomaly
TXN0000246425,2024-04-21 21:00:07,Recharge,Food,119,26-35,46-55,Rajasthan,IndusInd,PNB,Web,5G,21,1,SUCCESS,0,0.5225647884451327,High Anomaly
TXN0000197086,2024-03-30 18:10:47,Recharge,Food,617,36-45,56+,Telangana,ICICI,ICICI,iOS,WiFi,18,1,SUCCESS,0,0.5225590522268875,High Anomaly
TXN0000158504,2024-09-17 13:41:04,Bill Payment,Education,8933,26-35,26-35,Maharashtra,ICICI,PNB,Web,WiFi,13,0,SUCCESS,0,0.5225421841794893,High Anomaly
TXN0000138654,2024-12-18 00:55:52,P2P,Shopping,1697,56+,36-45,West Bengal,IndusInd,Yes Bank,iOS,3G,0,0,SUCCESS,0,0.5225346218830126,High Anomaly
TXN0000103633,2024-06-15 20:34:08,Bill Payment,Entertainment,265,26-35,26-35,Tamil Nadu,Yes Bank,ICICI,Web,WiFi,20,1,SUCCESS,0,0.5225277515848925,High Anomaly
TXN0000126963,2024-08-24 18:04:29,P2M,Transport,33,18-25,56+,Rajasthan,PNB,Axis,iOS,3G,18,1,SUCCESS,0,0.52252219754904,High Anomaly
TXN0000073212,2024-12-26 22:36:17,P2P,Fuel,651,46-55,56+,Telangana,ICICI,SBI,Web,WiFi,22,0,SUCCESS,0,0.52250314649642,High Anomaly
TXN0000186802,2024-01-14 09:49:29,P2M,Shopping,211,46-55,56+,Uttar Pradesh,ICICI,Kotak,iOS,3G,9,1,SUCCESS,0,0.5225028744133645,High Anomaly
TXN0000123067,2024-06-02 17:30:09,Recharge,Food,86,46-55,46-55,West Bengal,HDFC,Axis,Web,4G,17,1,FAILED,0,0.5224903446905746,High Anomaly
TXN0000030182,2024-06-11 02:33:07,Recharge,Grocery,1648,56+,18-25,Uttar Pradesh,IndusInd,Yes Bank,Web,4G,2,0,SUCCESS,0,0.5224898266923279,High Anomaly
TXN0000101003,2024-06-17 18:29:22,Recharge,Entertainment,202,56+,36-45,Gujarat,ICICI,HDFC,iOS,WiFi,18,0,SUCCESS,0,0.5224882430348781,High Anomaly
TXN0000085135,2024-01-14 21:59:52,Recharge,Food,164,26-35,56+,Maharashtra,Yes Bank,PNB,Web,5G,21,1,SUCCESS,0,0.522478639841198,High Anomaly
TXN0000055061,2024-06-16 10:08:58,P2P,Fuel,1263,56+,46-55,Telangana,Kotak,HDFC,iOS,WiFi,10,1,SUCCESS,0,0.5224752187070008,High Anomaly
TXN0000054506,2024-01-22 16:46:28,Recharge,Fuel,1202,18-25,46-55,Tamil Nadu,HDFC,Kotak,iOS,WiFi,16,0,SUCCESS,0,0.5224671434780445,High Anomaly
TXN0000205476,2024-06-16 08:16:41,P2P,Other,327,46-55,46-55,West Bengal,Axis,Yes Bank,Web,5G,8,1,SUCCESS,0,0.5224605071866847,High Anomaly
TXN0000085318,2024-01-25 21:41:22,P2M,Shopping,3251,56+,18-25,West Bengal,Kotak,SBI,Web,WiFi,21,0,SUCCESS,0,0.5224431349615506,High Anomaly
TXN0000119777,2024-01-01 19:40:29,P2M,Grocery,4418,56+,46-55,Maharashtra,Kotak,SBI,Web,WiFi,19,0,SUCCESS,0,0.5224118808867843,High Anomaly
TXN0000082792,2024-01-25 19:11:55,Bill Payment,Shopping,865,18-25,36-45,Rajasthan,HDFC,Axis,Web,3G,19,0,SUCCESS,0,0.5224114686343703,High Anomaly
TXN0000188295,2024-03-10 17:05:55,P2P,Transport,101,56+,46-55,Tamil Nadu,Kotak,Yes Bank,Web,4G,17,1,SUCCESS,0,0.522406770251494,High Anomaly
TXN0000167388,2024-08-11 05:59:45,P2M,Food,286,36-45,26-35,Tamil Nadu,PNB,Yes Bank,Web,WiFi,5,1,SUCCESS,0,0.5223869365888728,High Anomaly
TXN0000063356,2024-04-21 20:07:57,Bill Payment,Grocery,465,46-55,18-25,Karnataka,Kotak,IndusInd,iOS,WiFi,20,1,SUCCESS,0,0.5223847745083952,High Anomaly
TXN0000063684,2024-10-10 08:04:40,Recharge,Education,6205,56+,46-55,Maharashtra,IndusInd,HDFC,Android,5G,8,0,SUCCESS,0,0.5223778742275509,High Anomaly
TXN0000099440,2024-04-04 18:41:35,Recharge,Other,1034,18-25,56+,West Bengal,Axis,PNB,Web,4G,18,0,SUCCESS,0,0.5223777027415627,High Anomaly
TXN0000245843,2024-08-25 17:34:58,Bill Payment,Entertainment,142,56+,46-55,Delhi,HDFC,ICICI,iOS,WiFi,17,1,SUCCESS,0,0.5223632517110133,High Anomaly
TXN0000083800,2024-02-10 21:01:55,P2P,Entertainment,243,56+,36-45,Karnataka,Axis,IndusInd,Web,5G,21,1,SUCCESS,0,0.5223541597104678,High Anomaly
TXN0000101911,2024-03-23 10:18:33,Recharge,Transport,309,36-45,26-35,Andhra Pradesh,ICICI,ICICI,iOS,WiFi,10,1,SUCCESS,0,0.5223051688273043,High Anomaly
TXN0000120160,2024-03-27 00:14:12,Recharge,Transport,294,56+,46-55,Karnataka,Axis,IndusInd,iOS,4G,0,0,SUCCESS,0,0.5222835668422973,High Anomaly
TXN0000241929,2024-03-18 17:58:30,Recharge,Fuel,484,46-55,18-25,Rajasthan,PNB,ICICI,iOS,WiFi,17,0,SUCCESS,0,0.522265106314073,High Anomaly
TXN0000098094,2024-10-20 12:49:38,P2M,Grocery,192,46-55,56+,West Bengal,PNB,Yes Bank,Web,5G,12,1,SUCCESS,0,0.5222454321114021,High Anomaly
TXN0000228362,2024-09-16 21:10:30,Recharge,Utilities,691,56+,18-25,Delhi,IndusInd,ICICI,iOS,4G,21,0,SUCCESS,0,0.5222443401233898,High Anomaly
TXN0000003754,2024-09-30 12:42:43,Recharge,Entertainment,75,56+,26-35,Andhra Pradesh,Kotak,IndusInd,iOS,4G,12,0,SUCCESS,0,0.5222015342496555,High Anomaly
TXN0000078079,2024-09-20 23:22:14,P2M,Food,99,56+,46-55,Delhi,PNB,IndusInd,Web,5G,23,0,SUCCESS,0,0.5221791730810339,High Anomaly
TXN0000148460,2024-03-17 12:06:49,P2P,Education,13814,46-55,18-25,Karnataka,Yes Bank,HDFC,Web,5G,12,1,SUCCESS,0,0.5221766512832416,High Anomaly
TXN0000209035,2024-02-20 13:36:17,Recharge,Entertainment,294,36-45,56+,Tamil Nadu,Axis,PNB,Android,WiFi,13,0,SUCCESS,0,0.5221663769715899,High Anomaly
TXN0000035890,2024-10-19 02:26:39,P2M,Utilities,415,56+,36-45,Telangana,Kotak,SBI,iOS,WiFi,2,1,SUCCESS,0,0.5221550728560475,High Anomaly
TXN0000055859,2024-10-23 15:38:21,Recharge,Food,246,56+,18-25,Tamil Nadu,Kotak,Kotak,iOS,3G,15,0,SUCCESS,0,0.5221544675516974,High Anomaly
TXN0000230210,2024-03-29 19:44:20,Bill Payment,Transport,665,18-25,56+,Telangana,PNB,PNB,Web,5G,19,0,SUCCESS,0,0.5221358633849817,High Anomaly
TXN0000067035,2024-01-03 12:20:22,Bill Payment,Shopping,287,36-45,26-35,Karnataka,PNB,HDFC,Web,3G,12,0,SUCCESS,0,0.5221244189772299,High Anomaly
TXN0000014105,2024-11-26 21:35:11,Bill Payment,Shopping,2992,56+,26-35,Uttar Pradesh,SBI,Yes Bank,Web,3G,21,0,FAILED,0,0.5220973616174306,High Anomaly
TXN0000121616,2024-07-06 14:10:41,Recharge,Shopping,796,26-35,36-45,Andhra Pradesh,SBI,PNB,Web,5G,14,1,SUCCESS,0,0.5220658383067481,High Anomaly
TXN0000188651,2024-04-19 12:09:56,P2M,Healthcare,637,56+,26-35,Karnataka,PNB,HDFC,Web,3G,12,0,SUCCESS,0,0.5220607113765882,High Anomaly
TXN0000212160,2024-05-03 19:47:40,Recharge,Fuel,3358,56+,36-45,Andhra Pradesh,Axis,ICICI,Web,4G,19,0,SUCCESS,0,0.5220540533579161,High Anomaly
TXN0000016542,2024-04-11 22:50:35,Recharge,Grocery,259,56+,56+,Uttar Pradesh,HDFC,Yes Bank,Android,3G,22,0,SUCCESS,0,0.5220268635641632,High Anomaly
TXN0000225211,2024-09-01 07:41:47,Recharge,Fuel,412,56+,26-35,Karnataka,ICICI,HDFC,Android,WiFi,7,1,SUCCESS,0,0.5220106302610006,High Anomaly
TXN0000240289,2024-05-09 18:17:55,P2P,Entertainment,153,46-55,18-25,West Bengal,PNB,Axis,Web,3G,18,0,SUCCESS,0,0.5219810941302261,High Anomaly
TXN0000162873,2024-08-09 22:14:17,Bill Payment,Other,441,36-45,46-55,Delhi,PNB,Axis,Web,WiFi,22,0,SUCCESS,0,0.5219551841974006,High Anomaly
TXN0000026802,2024-12-05 13:07:23,Recharge,Entertainment,200,36-45,46-55,Delhi,IndusInd,PNB,iOS,3G,13,0,SUCCESS,0,0.5219385553752821,High Anomaly
TXN0000033617,2024-10-18 08:10:07,P2P,Fuel,366,26-35,46-55,Tamil Nadu,ICICI,ICICI,Web,WiFi,8,0,SUCCESS,0,0.5219360431472579,High Anomaly
TXN0000008443,2024-06-08 13:28:40,Bill Payment,Education,4390,26-35,46-55,Gujarat,SBI,Axis,iOS,WiFi,13,1,SUCCESS,0,0.52191396639118,High Anomaly
TXN0000177698,2024-05-21 21:13:28,Bill Payment,Shopping,472,46-55,36-45,Gujarat,SBI,Kotak,Web,WiFi,21,0,SUCCESS,0,0.5219118834476513,High Anomaly
TXN0000147858,2024-02-05 13:58:08,P2P,Utilities,5511,46-55,18-25,Gujarat,ICICI,HDFC,Web,WiFi,13,0,SUCCESS,0,0.5218810246986572,High Anomaly
TXN0000144742,2024-10-15 15:45:00,P2M,Healthcare,519,26-35,56+,Maharashtra,Kotak,IndusInd,Web,3G,15,0,SUCCESS,0,0.5218545265203532,High Anomaly
TXN0000118748,2024-05-12 22:40:50,Recharge,Other,484,26-35,56+,Maharashtra,IndusInd,PNB,Web,4G,22,1,SUCCESS,0,0.5218474167107279,High Anomaly
TXN0000093933,2024-12-05 07:47:58,Bill Payment,Entertainment,124,18-25,36-45,Tamil Nadu,PNB,PNB,Web,3G,7,0,SUCCESS,0,0.5217946481181689,High Anomaly
TXN0000203151,2024-10-07 12:32:43,P2M,Shopping,249,18-25,36-45,Telangana,HDFC,ICICI,Web,3G,12,0,SUCCESS,0,0.5217913018035071,High Anomaly
TXN0000005483,2024-01-02 02:56:31,Recharge,Grocery,646,26-35,56+,Uttar Pradesh,PNB,PNB,Web,4G,2,0,SUCCESS,0,0.5217781401662827,High Anomaly
TXN0000060047,2024-01-07 13:44:32,Recharge,Shopping,2295,46-55,26-35,Gujarat,ICICI,Kotak,Web,4G,13,1,SUCCESS,0,0.5217745410113654,High Anomaly
TXN0000120893,2024-07-14 16:12:38,Recharge,Transport,161,26-35,56+,Tamil Nadu,Axis,IndusInd,Android,WiFi,16,1,SUCCESS,0,0.5217700582396991,High Anomaly
TXN0000194050,2024-06-21 11:28:08,P2M,Other,2539,46-55,56+,Gujarat,PNB,Kotak,iOS,WiFi,11,0,SUCCESS,0,0.5217417745604953,High Anomaly
TXN0000238356,2024-07-21 08:20:05,P2M,Shopping,4391,18-25,56+,Delhi,HDFC,IndusInd,Web,5G,8,1,SUCCESS,0,0.5217407273694922,High Anomaly
TXN0000139391,2024-11-26 17:59:40,Bill Payment,Education,12323,36-45,46-55,Karnataka,Kotak,PNB,iOS,5G,17,0,SUCCESS,0,0.521733294761056,High Anomaly
TXN0000137742,2024-08-07 18:27:28,Bill Payment,Food,213,56+,46-55,Maharashtra,Kotak,HDFC,iOS,WiFi,18,0,SUCCESS,0,0.5217323796849156,High Anomaly
TXN0000005795,2024-06-30 19:28:31,Bill Payment,Transport,51,36-45,46-55,Gujarat,ICICI,PNB,iOS,3G,19,1,SUCCESS,0,0.5217321308071851,High Anomaly
TXN0000069930,2024-02-23 07:08:59,Recharge,Food,39,56+,26-35,Rajasthan,Kotak,HDFC,iOS,5G,7,0,SUCCESS,0,0.5217237563619764,High Anomaly
TXN0000219674,2024-11-09 20:52:45,Recharge,Entertainment,239,26-35,36-45,Gujarat,Kotak,Kotak,iOS,WiFi,20,1,SUCCESS,0,0.5217207838560735,High Anomaly
TXN0000240559,2024-01-04 20:41:44,P2M,Transport,379,46-55,56+,West Bengal,IndusInd,Axis,Web,5G,20,0,SUCCESS,0,0.5217200176680025,High Anomaly
TXN0000061665,2024-11-19 23:30:59,P2M,Education,1597,18-25,56+,Telangana,IndusInd,IndusInd,Web,4G,23,0,SUCCESS,0,0.5217166615323905,High Anomaly
TXN0000128705,2024-05-01 13:19:23,Bill Payment,Food,38,56+,56+,Maharashtra,Kotak,IndusInd,iOS,4G,13,0,SUCCESS,0,0.5217039383768516,High Anomaly
TXN0000196013,2024-08-01 06:12:29,Recharge,Shopping,3504,36-45,46-55,Uttar Pradesh,Kotak,PNB,Android,WiFi,6,0,SUCCESS,0,0.5217031338135051,High Anomaly
TXN0000014254,2024-10-04 21:44:21,Bill Payment,Entertainment,304,56+,18-25,Telangana,Kotak,ICICI,iOS,WiFi,21,0,SUCCESS,0,0.5216957717000007,High Anomaly
TXN0000029814,2024-10-20 21:02:58,Recharge,Transport,133,26-35,36-45,Rajasthan,IndusInd,PNB,iOS,WiFi,21,1,SUCCESS,0,0.5216778517166728,High Anomaly
TXN0000211012,2024-04-18 05:10:14,Recharge,Food,194,56+,26-35,Uttar Pradesh,SBI,HDFC,iOS,WiFi,5,0,SUCCESS,0,0.5216675399152356,High Anomaly
TXN0000148598,2024-07-31 13:11:28,Recharge,Healthcare,597,36-45,26-35,Uttar Pradesh,Yes Bank,Axis,Web,3G,13,0,SUCCESS,0,0.5216645402205041,High Anomaly
TXN0000137045,2024-07-28 21:43:54,Bill Payment,Transport,98,56+,56+,Rajasthan,Axis,IndusInd,Android,5G,21,1,SUCCESS,0,0.5216455103962687,High Anomaly
TXN0000242379,2024-11-07 12:26:57,Recharge,Grocery,2088,46-55,46-55,Tamil Nadu,ICICI,ICICI,iOS,WiFi,12,0,SUCCESS,0,0.5216349664615318,High Anomaly
TXN0000183434,2024-02-07 08:42:18,P2M,Transport,307,56+,26-35,Rajasthan,Kotak,IndusInd,Web,WiFi,8,0,FAILED,0,0.5216329649009702,High Anomaly
TXN0000186138,2024-08-18 02:42:57,P2M,Shopping,6940,46-55,18-25,Uttar Pradesh,ICICI,IndusInd,iOS,WiFi,2,1,SUCCESS,0,0.521631705457928,High Anomaly
TXN0000003261,2024-03-31 08:52:28,Bill Payment,Utilities,4156,36-45,18-25,Delhi,SBI,HDFC,iOS,WiFi,8,1,SUCCESS,0,0.5216247929825513,High Anomaly
TXN0000234996,2024-05-14 22:50:41,P2M,Entertainment,1463,18-25,56+,Andhra Pradesh,Kotak,ICICI,Web,5G,22,0,SUCCESS,0,0.5216139591985951,High Anomaly
TXN0000125402,2024-12-26 18:02:09,Recharge,Entertainment,93,36-45,36-45,Andhra Pradesh,IndusInd,Yes Bank,iOS,5G,18,0,SUCCESS,0,0.5215572034654192,High Anomaly
TXN0000124369,2024-09-13 11:07:22,Recharge,Utilities,7618,26-35,36-45,Uttar Pradesh,PNB,ICICI,Web,5G,11,0,SUCCESS,0,0.5215216129395085,High Anomaly
TXN0000216443,2024-06-29 17:22:42,P2M,Healthcare,951,46-55,46-55,Tamil Nadu,Axis,SBI,iOS,WiFi,17,1,SUCCESS,0,0.5215190223257704,High Anomaly
TXN0000058849,2024-07-06 09:44:35,P2P,Fuel,6868,36-45,36-45,Telangana,HDFC,PNB,Web,WiFi,9,1,SUCCESS,0,0.5215125780732554,High Anomaly
TXN0000098492,2024-01-05 08:18:30,Bill Payment,Transport,63,18-25,56+,Gujarat,HDFC,PNB,iOS,5G,8,0,SUCCESS,0,0.5215105727268198,High Anomaly
TXN0000135814,2024-11-03 09:14:55,Recharge,Food,48,46-55,18-25,Gujarat,ICICI,HDFC,Web,4G,9,1,SUCCESS,0,0.5214982048675195,High Anomaly
